,Summary,Packet Size,Network Protocol,Transport Protocol,Operation,Source
73,IP TCP 10.0.2.15:50704 185.199.108.133:https PA Raw,99,IP,TCP,Connection-Transport,10.0.2.15:50704
74,IP TCP 140.82.113.22:https 10.0.2.15:55482 A Padding,66,IP,TCP,Connection-Transport,140.82.113.22:https
75,IP TCP 185.199.109.154:https 10.0.2.15:33286 A Padding,66,IP,TCP,Connection-Transport,185.199.109.154:https
76,IP TCP 185.199.108.133:https 10.0.2.15:50704 A Padding,66,IP,TCP,Connection-Transport,185.199.108.133:https
77,IP TCP 185.199.108.133:https 10.0.2.15:50704 PA Raw,99,IP,TCP,Connection-Transport,185.199.108.133:https
78,IP TCP 10.0.2.15:50704 185.199.108.133:https A,60,IP,TCP,Connection-Transport,10.0.2.15:50704
79,IP TCP 185.199.109.154:https 10.0.2.15:33286 PA Raw,99,IP,TCP,Connection-Transport,185.199.109.154:https
80,IP TCP 10.0.2.15:33286 185.199.109.154:https A,60,IP,TCP,Connection-Transport,10.0.2.15:33286
81,IP TCP 140.82.113.22:https 10.0.2.15:55482 PA Raw,99,IP,TCP,Connection-Transport,140.82.113.22:https
82,IP TCP 10.0.2.15:55482 140.82.113.22:https A,60,IP,TCP,Connection-Transport,10.0.2.15:55482
83,fe80::72cc:3c2f:5efe:9814 ff02::2 (58) ICMPv6ND_RS,68,fe80::72cc:3c2f:5efe:9814,Other,,Unknown
84,IP TCP 10.0.2.15:59782 185.199.110.133:https PA Raw,99,IP,TCP,Connection-Transport,10.0.2.15:59782
85,IP TCP 185.199.110.133:https 10.0.2.15:59782 A Padding,66,IP,TCP,Connection-Transport,185.199.110.133:https
86,IP TCP 185.199.110.133:https 10.0.2.15:59782 PA Raw,99,IP,TCP,Connection-Transport,185.199.110.133:https
87,IP TCP 10.0.2.15:59782 185.199.110.133:https A,60,IP,TCP,Connection-Transport,10.0.2.15:59782
88,IP TCP 10.0.2.15:57266 172.64.149.23:http A,60,IP,TCP,Connection-Transport,10.0.2.15:57266
89,IP TCP 10.0.2.15:57274 172.64.149.23:http A,60,IP,TCP,Connection-Transport,10.0.2.15:57274
90,IP TCP 10.0.2.15:57278 172.64.149.23:http A,60,IP,TCP,Connection-Transport,10.0.2.15:57278
91,IP TCP 10.0.2.15:57290 172.64.149.23:http A,60,IP,TCP,Connection-Transport,10.0.2.15:57290
92,IP TCP 172.64.149.23:http 10.0.2.15:57266 A Padding,66,IP,TCP,Connection-Transport,172.64.149.23:http
93,IP TCP 172.64.149.23:http 10.0.2.15:57274 A Padding,66,IP,TCP,Connection-Transport,172.64.149.23:http
94,IP TCP 172.64.149.23:http 10.0.2.15:57278 A Padding,66,IP,TCP,Connection-Transport,172.64.149.23:http
95,IP TCP 172.64.149.23:http 10.0.2.15:57290 A Padding,66,IP,TCP,Connection-Transport,172.64.149.23:http
96,IP TCP 10.0.2.15:56638 142.250.184.131:http A,60,IP,TCP,Connection-Transport,10.0.2.15:56638
97,IP TCP 142.250.184.131:http 10.0.2.15:56638 A Padding,66,IP,TCP,Connection-Transport,142.250.184.131:http
98,IP TCP 10.0.2.15:56646 142.250.184.131:http A,60,IP,TCP,Connection-Transport,10.0.2.15:56646
99,IP TCP 10.0.2.15:56654 142.250.184.131:http A,60,IP,TCP,Connection-Transport,10.0.2.15:56654
100,IP TCP 10.0.2.15:56660 142.250.184.131:http A,60,IP,TCP,Connection-Transport,10.0.2.15:56660
101,IP TCP 142.250.184.131:http 10.0.2.15:56646 A Padding,66,IP,TCP,Connection-Transport,142.250.184.131:http
102,IP TCP 142.250.184.131:http 10.0.2.15:56654 A Padding,66,IP,TCP,Connection-Transport,142.250.184.131:http
103,IP TCP 142.250.184.131:http 10.0.2.15:56660 A Padding,66,IP,TCP,Connection-Transport,142.250.184.131:http
104,IP TCP 10.0.2.15:58100 108.157.62.27:http A,60,IP,TCP,Connection-Transport,10.0.2.15:58100
105,IP TCP 108.157.62.27:http 10.0.2.15:58100 A Padding,66,IP,TCP,Connection-Transport,108.157.62.27:http
106,IP TCP 10.0.2.15:58108 108.157.62.27:http A,60,IP,TCP,Connection-Transport,10.0.2.15:58108
107,IP TCP 108.157.62.27:http 10.0.2.15:58108 A Padding,66,IP,TCP,Connection-Transport,108.157.62.27:http
108,IP TCP 140.82.112.25:https 10.0.2.15:40534 PA Raw,86,IP,TCP,Connection-Transport,140.82.112.25:https
109,IP TCP 10.0.2.15:40534 140.82.112.25:https PA Raw,90,IP,TCP,Connection-Transport,10.0.2.15:40534
110,IP TCP 140.82.112.25:https 10.0.2.15:40534 A Padding,66,IP,TCP,Connection-Transport,140.82.112.25:https
111,IP TCP 140.82.113.22:https 10.0.2.15:55482 PA Raw,123,IP,TCP,Connection-Transport,140.82.113.22:https
112,IP TCP 10.0.2.15:55482 140.82.113.22:https A,60,IP,TCP,Connection-Transport,10.0.2.15:55482
113,IP TCP 140.82.113.22:https 10.0.2.15:55482 FA Padding,66,IP,TCP,Connection-Transport,140.82.113.22:https
114,IP TCP 10.0.2.15:55482 140.82.113.22:https PA Raw,99,IP,TCP,Connection-Transport,10.0.2.15:55482
115,IP TCP 10.0.2.15:55482 140.82.113.22:https PA Raw,84,IP,TCP,Connection-Transport,10.0.2.15:55482
116,IP TCP 140.82.113.22:https 10.0.2.15:55482 A Padding,66,IP,TCP,Connection-Transport,140.82.113.22:https
117,IP TCP 140.82.113.22:https 10.0.2.15:55482 A Padding,66,IP,TCP,Connection-Transport,140.82.113.22:https
118,IP TCP 10.0.2.15:55482 140.82.113.22:https FA,60,IP,TCP,Connection-Transport,10.0.2.15:55482
119,IP TCP 140.82.113.22:https 10.0.2.15:55482 A Padding,66,IP,TCP,Connection-Transport,140.82.113.22:https
120,"IP UDP DNS Qry ""b'www.coderbyte.com.'""",94,IP,UDP,DNS-Qry,"""b'www.coderbyte.com.'"""
121,"IP UDP DNS Qry ""b'www.coderbyte.com.'""",94,IP,UDP,DNS-Qry,"""b'www.coderbyte.com.'"""
122,"IP UDP DNS Qry ""b'www.coderbyte.com.'""",83,IP,UDP,DNS-Qry,"""b'www.coderbyte.com.'"""
123,"IP UDP DNS Qry ""b'www.coderbyte.com.'""",83,IP,UDP,DNS-Qry,"""b'www.coderbyte.com.'"""
124,"IP UDP DNS Ans ""104.26.5.227""",131,IP,UDP,DNS-Ans,"""104.26.5.227"""
125,"IP UDP DNS Ans ""2606:4700:20::ac43:4759""",167,IP,UDP,DNS-Ans,"""2606:4700:20::ac43:4759"""
126,"IP UDP DNS Ans ""104.26.5.227""",142,IP,UDP,DNS-Ans,"""104.26.5.227"""
127,"IP UDP DNS Ans ""2606:4700:20::ac43:4759""",178,IP,UDP,DNS-Ans,"""2606:4700:20::ac43:4759"""
128,IP TCP 10.0.2.15:56176 104.26.5.227:https S,80,IP,TCP,Connection-Transport,10.0.2.15:56176
129,IP TCP 104.26.5.227:https 10.0.2.15:56176 SA Padding,66,IP,TCP,Connection-Transport,104.26.5.227:https
130,IP TCP 10.0.2.15:56176 104.26.5.227:https A,60,IP,TCP,Connection-Transport,10.0.2.15:56176
131,IP TCP 10.0.2.15:56176 104.26.5.227:https PA Raw,725,IP,TCP,Connection-Transport,10.0.2.15:56176
132,IP TCP 104.26.5.227:https 10.0.2.15:56176 A Padding,66,IP,TCP,Connection-Transport,104.26.5.227:https
133,IP TCP 104.26.5.227:https 10.0.2.15:56176 PA Raw,2860,IP,TCP,Connection-Transport,104.26.5.227:https
134,IP TCP 10.0.2.15:56176 104.26.5.227:https A,60,IP,TCP,Connection-Transport,10.0.2.15:56176
135,IP TCP 104.26.5.227:https 10.0.2.15:56176 PA Raw,2135,IP,TCP,Connection-Transport,104.26.5.227:https
136,IP TCP 10.0.2.15:56176 104.26.5.227:https A,60,IP,TCP,Connection-Transport,10.0.2.15:56176
137,IP TCP 10.0.2.15:56176 104.26.5.227:https PA Raw,124,IP,TCP,Connection-Transport,10.0.2.15:56176
138,IP TCP 10.0.2.15:56176 104.26.5.227:https PA Raw,230,IP,TCP,Connection-Transport,10.0.2.15:56176
139,IP TCP 104.26.5.227:https 10.0.2.15:56176 A Padding,66,IP,TCP,Connection-Transport,104.26.5.227:https
140,IP TCP 104.26.5.227:https 10.0.2.15:56176 A Padding,66,IP,TCP,Connection-Transport,104.26.5.227:https
141,IP TCP 104.26.5.227:https 10.0.2.15:56176 PA Raw,581,IP,TCP,Connection-Transport,104.26.5.227:https
142,IP TCP 10.0.2.15:56176 104.26.5.227:https A,60,IP,TCP,Connection-Transport,10.0.2.15:56176
143,IP TCP 10.0.2.15:56176 104.26.5.227:https PA Raw,91,IP,TCP,Connection-Transport,10.0.2.15:56176
144,IP TCP 104.26.5.227:https 10.0.2.15:56176 A Padding,66,IP,TCP,Connection-Transport,104.26.5.227:https
145,IP TCP 10.0.2.15:56176 104.26.5.227:https PA Raw,419,IP,TCP,Connection-Transport,10.0.2.15:56176
146,IP TCP 104.26.5.227:https 10.0.2.15:56176 A Padding,66,IP,TCP,Connection-Transport,104.26.5.227:https
147,IP TCP 10.0.2.15:47988 193.192.103.249:http A,60,IP,TCP,Connection-Transport,10.0.2.15:47988
148,IP TCP 193.192.103.249:http 10.0.2.15:47988 A Padding,66,IP,TCP,Connection-Transport,193.192.103.249:http
149,IP TCP 104.26.5.227:https 10.0.2.15:56176 PA Raw,2994,IP,TCP,Connection-Transport,104.26.5.227:https
150,IP TCP 10.0.2.15:56176 104.26.5.227:https A,60,IP,TCP,Connection-Transport,10.0.2.15:56176
151,"IP UDP DNS Qry ""b'incoming.telemetry.mozilla.org.'""",107,IP,UDP,DNS-Qry,"""b'incoming.telemetry.mozilla.org.'"""
152,"IP UDP DNS Qry ""b'incoming.telemetry.mozilla.org.'""",96,IP,UDP,DNS-Qry,"""b'incoming.telemetry.mozilla.org.'"""
153,"IP UDP DNS Qry ""b'incoming.telemetry.mozilla.org.'""",107,IP,UDP,DNS-Qry,"""b'incoming.telemetry.mozilla.org.'"""
154,"IP UDP DNS Qry ""b'incoming.telemetry.mozilla.org.'""",96,IP,UDP,DNS-Qry,"""b'incoming.telemetry.mozilla.org.'"""
155,IP TCP 10.0.2.15:53618 34.120.208.123:https PA Raw,207,IP,TCP,Connection-Transport,10.0.2.15:53618
156,IP TCP 10.0.2.15:53618 34.120.208.123:https PA Raw,1310,IP,TCP,Connection-Transport,10.0.2.15:53618
157,IP TCP 34.120.208.123:https 10.0.2.15:53618 A Padding,66,IP,TCP,Connection-Transport,34.120.208.123:https
158,IP TCP 34.120.208.123:https 10.0.2.15:53618 A Padding,66,IP,TCP,Connection-Transport,34.120.208.123:https
159,"IP UDP DNS Ans ""b'telemetry-incoming.r53-2.services.mozilla.com.'""",171,IP,UDP,DNS-Ans,"""b'telemetry-incoming.r53-2.services.mozilla.com.'"""
160,"IP UDP DNS Ans ""b'telemetry-incoming.r53-2.services.mozilla.com.'""",234,IP,UDP,DNS-Ans,"""b'telemetry-incoming.r53-2.services.mozilla.com.'"""
161,"IP UDP DNS Ans ""b'telemetry-incoming.r53-2.services.mozilla.com.'""",182,IP,UDP,DNS-Ans,"""b'telemetry-incoming.r53-2.services.mozilla.com.'"""
162,"IP UDP DNS Qry ""b'telemetry-incoming.r53-2.services.mozilla.com.'""",111,IP,UDP,DNS-Qry,"""b'telemetry-incoming.r53-2.services.mozilla.com.'"""
163,IP UDP DNS Ans,111,IP,UDP,DNS-Ans,Unknown
164,"IP UDP DNS Ans ""b'telemetry-incoming.r53-2.services.mozilla.com.'""",245,IP,UDP,DNS-Ans,"""b'telemetry-incoming.r53-2.services.mozilla.com.'"""
165,IP TCP 104.26.5.227:https 10.0.2.15:56176 PA Raw,1863,IP,TCP,Connection-Transport,104.26.5.227:https
166,IP TCP 10.0.2.15:56176 104.26.5.227:https A,60,IP,TCP,Connection-Transport,10.0.2.15:56176
167,"IP UDP DNS Qry ""b'coderbytejs.s3.amazonaws.com.'""",105,IP,UDP,DNS-Qry,"""b'coderbytejs.s3.amazonaws.com.'"""
168,"IP UDP DNS Qry ""b'coderbytejs.s3.amazonaws.com.'""",105,IP,UDP,DNS-Qry,"""b'coderbytejs.s3.amazonaws.com.'"""
169,"IP UDP DNS Qry ""b'coderbytejs.s3.amazonaws.com.'""",94,IP,UDP,DNS-Qry,"""b'coderbytejs.s3.amazonaws.com.'"""
170,"IP UDP DNS Qry ""b'coderbytejs.s3.amazonaws.com.'""",94,IP,UDP,DNS-Qry,"""b'coderbytejs.s3.amazonaws.com.'"""
171,"IP UDP DNS Ans ""b's3-1-w.amazonaws.com.'""",272,IP,UDP,DNS-Ans,"""b's3-1-w.amazonaws.com.'"""
172,"IP UDP DNS Ans ""b's3-1-w.amazonaws.com.'""",222,IP,UDP,DNS-Ans,"""b's3-1-w.amazonaws.com.'"""
173,"IP UDP DNS Ans ""b's3-1-w.amazonaws.com.'""",283,IP,UDP,DNS-Ans,"""b's3-1-w.amazonaws.com.'"""
174,"IP UDP DNS Qry ""b's3-w.us-east-1.amazonaws.com.'""",94,IP,UDP,DNS-Qry,"""b's3-w.us-east-1.amazonaws.com.'"""
175,IP UDP DNS Ans,94,IP,UDP,DNS-Ans,Unknown
176,"IP UDP DNS Ans ""b's3-1-w.amazonaws.com.'""",233,IP,UDP,DNS-Ans,"""b's3-1-w.amazonaws.com.'"""
177,"IP UDP DNS Qry ""b'cdnjs.cloudflare.com.'""",97,IP,UDP,DNS-Qry,"""b'cdnjs.cloudflare.com.'"""
178,"IP UDP DNS Qry ""b'cdnjs.cloudflare.com.'""",97,IP,UDP,DNS-Qry,"""b'cdnjs.cloudflare.com.'"""
179,"IP UDP DNS Qry ""b'cdnjs.cloudflare.com.'""",86,IP,UDP,DNS-Qry,"""b'cdnjs.cloudflare.com.'"""
180,"IP UDP DNS Qry ""b'cdnjs.cloudflare.com.'""",86,IP,UDP,DNS-Qry,"""b'cdnjs.cloudflare.com.'"""
181,"IP UDP DNS Ans ""2606:4700::6811:180e""",142,IP,UDP,DNS-Ans,"""2606:4700::6811:180e"""
182,"IP UDP DNS Ans ""104.17.25.14""",118,IP,UDP,DNS-Ans,"""104.17.25.14"""
183,"IP UDP DNS Ans ""2606:4700::6811:180e""",153,IP,UDP,DNS-Ans,"""2606:4700::6811:180e"""
184,"IP UDP DNS Ans ""104.17.25.14""",129,IP,UDP,DNS-Ans,"""104.17.25.14"""
185,"IP UDP DNS Qry ""b's3.amazonaws.com.'""",93,IP,UDP,DNS-Qry,"""b's3.amazonaws.com.'"""
186,"IP UDP DNS Qry ""b's3.amazonaws.com.'""",82,IP,UDP,DNS-Qry,"""b's3.amazonaws.com.'"""
187,"IP UDP DNS Qry ""b's3.amazonaws.com.'""",93,IP,UDP,DNS-Qry,"""b's3.amazonaws.com.'"""
188,"IP UDP DNS Qry ""b's3.amazonaws.com.'""",82,IP,UDP,DNS-Qry,"""b's3.amazonaws.com.'"""
189,"IP UDP DNS Ans ""52.217.233.112""",210,IP,UDP,DNS-Ans,"""52.217.233.112"""
190,"IP UDP DNS Ans ""52.217.233.112""",221,IP,UDP,DNS-Ans,"""52.217.233.112"""
191,IP UDP DNS Ans,166,IP,UDP,DNS-Ans,Unknown
192,IP UDP DNS Ans,177,IP,UDP,DNS-Ans,Unknown
193,"IP UDP DNS Qry ""b'www.googletagmanager.com.'""",101,IP,UDP,DNS-Qry,"""b'www.googletagmanager.com.'"""
194,"IP UDP DNS Qry ""b'www.googletagmanager.com.'""",101,IP,UDP,DNS-Qry,"""b'www.googletagmanager.com.'"""
195,"IP UDP DNS Qry ""b'www.googletagmanager.com.'""",90,IP,UDP,DNS-Qry,"""b'www.googletagmanager.com.'"""
196,"IP UDP DNS Qry ""b'www.googletagmanager.com.'""",90,IP,UDP,DNS-Qry,"""b'www.googletagmanager.com.'"""
197,"IP UDP DNS Qry ""b'fonts.googleapis.com.'""",97,IP,UDP,DNS-Qry,"""b'fonts.googleapis.com.'"""
198,"IP UDP DNS Qry ""b'fonts.googleapis.com.'""",97,IP,UDP,DNS-Qry,"""b'fonts.googleapis.com.'"""
199,"IP UDP DNS Ans ""142.251.140.74""",113,IP,UDP,DNS-Ans,"""142.251.140.74"""
200,"IP UDP DNS Ans ""2a00:1450:4017:811::200a""",125,IP,UDP,DNS-Ans,"""2a00:1450:4017:811::200a"""
201,"IP UDP DNS Ans ""216.58.212.40""",106,IP,UDP,DNS-Ans,"""216.58.212.40"""
202,"IP UDP DNS Ans ""216.58.212.40""",117,IP,UDP,DNS-Ans,"""216.58.212.40"""
203,"IP UDP DNS Ans ""2a00:1450:4017:80e::2008""",118,IP,UDP,DNS-Ans,"""2a00:1450:4017:80e::2008"""
204,"IP UDP DNS Ans ""2a00:1450:4017:80e::2008""",129,IP,UDP,DNS-Ans,"""2a00:1450:4017:80e::2008"""
205,"IP UDP DNS Qry ""b'coderbytestaticimages.s3.amazonaws.com.'""",115,IP,UDP,DNS-Qry,"""b'coderbytestaticimages.s3.amazonaws.com.'"""
206,"IP UDP DNS Qry ""b'coderbytestaticimages.s3.amazonaws.com.'""",104,IP,UDP,DNS-Qry,"""b'coderbytestaticimages.s3.amazonaws.com.'"""
207,"IP UDP DNS Qry ""b'coderbytestaticimages.s3.amazonaws.com.'""",115,IP,UDP,DNS-Qry,"""b'coderbytestaticimages.s3.amazonaws.com.'"""
208,"IP UDP DNS Qry ""b'coderbytestaticimages.s3.amazonaws.com.'""",104,IP,UDP,DNS-Qry,"""b'coderbytestaticimages.s3.amazonaws.com.'"""
209,"IP UDP DNS Ans ""b's3-1-w.amazonaws.com.'""",232,IP,UDP,DNS-Ans,"""b's3-1-w.amazonaws.com.'"""
210,"IP UDP DNS Ans ""b's3-1-w.amazonaws.com.'""",282,IP,UDP,DNS-Ans,"""b's3-1-w.amazonaws.com.'"""
211,IP TCP 34.120.208.123:https 10.0.2.15:53618 PA Raw,128,IP,TCP,Connection-Transport,34.120.208.123:https
212,IP TCP 10.0.2.15:53618 34.120.208.123:https A,60,IP,TCP,Connection-Transport,10.0.2.15:53618
213,IP TCP 34.120.208.123:https 10.0.2.15:53618 PA Raw,388,IP,TCP,Connection-Transport,34.120.208.123:https
214,IP TCP 10.0.2.15:53618 34.120.208.123:https A,60,IP,TCP,Connection-Transport,10.0.2.15:53618
215,"IP UDP DNS Qry ""b's3-w.us-east-1.amazonaws.com.'""",94,IP,UDP,DNS-Qry,"""b's3-w.us-east-1.amazonaws.com.'"""
216,IP TCP 10.0.2.15:53618 34.120.208.123:https PA Raw,99,IP,TCP,Connection-Transport,10.0.2.15:53618
217,"IP UDP DNS Ans ""b's3-1-w.amazonaws.com.'""",293,IP,UDP,DNS-Ans,"""b's3-1-w.amazonaws.com.'"""
218,IP TCP 34.120.208.123:https 10.0.2.15:53618 A Padding,66,IP,TCP,Connection-Transport,34.120.208.123:https
219,IP UDP DNS Ans,94,IP,UDP,DNS-Ans,Unknown
